Date,Adj Close,Close,High,Low,Open,Volume
2026-07-16,262.4200134277344,262.4200134277344,270.0,250.0,250.0,38655377
2026-07-17,288.6600036621094,288.6600036621094,288.6600036621094,270.5,271.69000244140625,8020613
2026-07-20,274.5299987792969,274.5299987792969,304.3999938964844,271.20001220703125,297.1499938964844,12859438
2026-07-21,281.9200134277344,281.9200134277344,284.8999938964844,267.239990234375,274.5299987792969,3935718
2026-07-23,282.8900146484375,282.8900146484375,286.79998779296875,275.0,281.0,1186693
2026-07-24,307.5199890136719,307.5199890136719,307.5199890136719,272.5199890136719,277.3999938964844,6556933
2026-07-27,306.2200012207031,306.2200012207031,317.0,298.0,315.54998779296875,5223714
2026-07-28,289.3399963378906,289.3399963378906,307.6600036621094,288.5,307.6600036621094,2112157
2026-07-29,306.6700134277344,306.6700134277344,314.2200012207031,280.20001220703125,289.0,7735392
2026-07-30,300.4200134277344,300.4200134277344,309.0,295.07000732421875,307.5899963378906,2914350
2026-07-31,299.3699951171875,299.3699951171875,315.6000061035156,296.1400146484375,302.79998779296875,3390535
2026-08-03,295.1000061035156,295.1000061035156,307.79998779296875,288.0,303.0,2496781
2026-08-04,287.45001220703125,287.45001220703125,299.5,285.95001220703125,295.79998779296875,1352390
2026-08-05,290.20001220703125,290.20001220703125,302.0,289.0,291.95001220703125,2453908
2026-08-06,292.0,292.0,303.20001220703125,289.29998779296875,292.70001220703125,1654581
2026-08-07,295.1000061035156,295.1000061035156,297.70001220703125,290.8999938964844,293.0,999456
2026-08-10,302.54998779296875,302.54998779296875,306.5,292.54998779296875,296.5,2513759
2026-08-11,289.04998779296875,289.04998779296875,300.8999938964844,282.29998779296875,287.95001220703125,5080059
2026-08-12,281.54998779296875,281.54998779296875,289.95001220703125,279.29998779296875,289.95001220703125,1179002
2026-08-13,298.0,298.0,305.6499938964844,270.04998779296875,282.8999938964844,5654140
2026-08-14,302.8999938964844,302.8999938964844,306.6000061035156,295.6000061035156,297.8999938964844,1688928
