Date,Adj Close,Close,High,Low,Open,Volume
2022-04-11,27.575000762939453,27.575000762939453,27.799999237060547,24.75,26.200000762939453,204000
2022-04-12,27.125,27.125,27.475000381469727,26.875,26.875,100000
2022-04-13,27.350000381469727,27.350000381469727,27.450000762939453,26.5,27.450000762939453,64000
2022-04-18,26.174999237060547,26.174999237060547,26.75,25.075000762939453,26.125,88000
2022-04-19,28.924999237060547,28.924999237060547,30.899999618530273,28.350000381469727,28.600000381469727,464000
2022-04-20,31.649999618530273,31.649999618530273,32.400001525878906,28.950000762939453,28.950000762939453,500000
2022-04-21,36.70000076293945,36.70000076293945,37.0,31.0,32.900001525878906,776000
2022-04-22,38.474998474121094,38.474998474121094,39.20000076293945,36.25,36.974998474121094,492000
2022-04-25,36.224998474121094,36.224998474121094,38.42499923706055,35.25,38.42499923706055,184000
2022-04-26,37.0,37.0,38.5,36.82500076293945,37.650001525878906,164000
2022-04-27,37.375,37.375,37.5,33.79999923706055,36.67499923706055,220000
2022-04-28,36.92499923706055,36.92499923706055,37.25,36.5,37.25,56000
2022-04-29,34.67499923706055,34.67499923706055,36.875,34.17499923706055,36.875,120000
2022-05-02,38.125,38.125,38.125,36.650001525878906,37.0,368000
2022-05-04,41.17499923706055,41.17499923706055,41.92499923706055,39.349998474121094,39.349998474121094,592000
2022-05-05,40.974998474121094,40.974998474121094,43.0,39.0,41.150001525878906,296000
2022-05-06,38.82500076293945,38.82500076293945,40.82500076293945,38.17499923706055,39.04999923706055,120000
2022-05-09,36.82500076293945,36.82500076293945,38.20000076293945,36.5,37.599998474121094,124000
2022-05-10,33.474998474121094,33.474998474121094,37.32500076293945,33.150001525878906,36.599998474121094,88000
2022-05-11,30.450000762939453,30.450000762939453,34.900001525878906,30.25,34.375,180000
2022-05-12,31.950000762939453,31.950000762939453,31.950000762939453,29.149999618530273,30.0,140000
2022-05-13,33.525001525878906,33.525001525878906,33.525001525878906,33.5,33.5,16000
2022-05-16,32.974998474121094,32.974998474121094,34.25,32.974998474121094,33.974998474121094,24000
2022-05-17,31.524999618530273,31.524999618530273,31.549999237060547,31.375,31.375,16000
2022-05-18,31.524999618530273,31.524999618530273,32.25,31.524999618530273,32.0,16000
2022-05-19,30.674999237060547,30.674999237060547,30.700000762939453,30.174999237060547,30.524999618530273,24000
