Date,Close,High,Low,Open,Volume,Adj Close
2026-04-20,57.0,58.84999847412109,56.900001525878906,58.45000076293945,1250,
2026-04-21,58.150001525878906,59.0,56.75,57.0,3356,
2026-04-22,57.70000076293945,59.150001525878906,55.04999923706055,57.75,3238,
2026-04-23,56.95000076293945,57.70000076293945,56.5,57.650001525878906,9576,
2026-04-24,57.95000076293945,58.0,55.5,56.150001525878906,4450,
2026-04-27,57.5,59.70000076293945,56.59999847412109,57.95000076293945,8531,
2026-04-28,58.04999923706055,58.5,57.09999847412109,57.5,1980,
2026-04-29,57.09999847412109,59.20000076293945,56.84999847412109,57.75,9367,
2026-04-30,57.900001525878906,59.0,56.20000076293945,56.75,2251,
2026-05-04,57.0,58.93999862670898,56.29999923706055,57.900001525878906,8305,
2026-05-05,56.68999862670898,57.970001220703125,55.02999877929688,57.0,9978,
2026-05-06,57.52000045776367,57.88999938964844,56.060001373291016,56.7400016784668,6858,
2026-05-07,58.66999816894531,60.0,57.04999923706055,57.209999084472656,33851,
2026-05-08,58.459999084472656,59.34999847412109,57.5099983215332,59.0,4085,
2026-05-11,60.709999084472656,62.45000076293945,57.11000061035156,59.95000076293945,99793,
2026-05-12,57.619998931884766,61.9900016784668,57.20000076293945,61.9900016784668,18187,
2026-05-13,59.27000045776367,61.0099983215332,58.0,60.869998931884766,24668,
2026-05-14,60.470001220703125,61.400001525878906,58.310001373291016,59.5,27397,
2026-05-15,60.630001068115234,61.470001220703125,59.02999877929688,61.470001220703125,7880,
2026-05-18,57.84000015258789,60.34999847412109,57.54999923706055,59.06999969482422,13224,
2026-05-19,59.18000030517578,60.84999847412109,57.400001525878906,58.86000061035156,10061,
2026-05-20,59.790000915527344,62.4900016784668,58.20000076293945,58.5,15652,
2026-05-21,60.02999877929688,61.86000061035156,59.130001068115234,61.11000061035156,18111,
2026-05-22,59.54999923706055,61.0,58.720001220703125,60.02999877929688,9034,
2026-05-25,59.81999969482422,61.4900016784668,59.0,60.70000076293945,6190,
2026-05-26,59.34999847412109,60.90999984741211,58.900001525878906,59.400001525878906,3517,
2026-05-27,59.86000061035156,62.900001525878906,58.11000061035156,60.77999877929688,33325,
2026-05-29,56.20000076293945,58.619998931884766,55.2599983215332,57.02000045776367,66761,
2026-06-01,54.5,57.900001525878906,53.900001525878906,57.900001525878906,36141,
2026-06-02,54.09000015258789,55.77999877929688,53.150001525878906,54.5,26438,
2026-06-03,54.4900016784668,55.93999862670898,53.84999847412109,54.59999847412109,5888,
2026-06-04,54.09000015258789,54.5,53.5,54.0,11082,
2026-06-05,54.02000045776367,54.959999084472656,53.5,54.959999084472656,21236,
2026-06-08,53.38999938964844,54.5,52.36000061035156,54.5,27562,
2026-06-09,54.25,55.75,52.34999847412109,53.18999862670898,28020,
2026-06-10,55.34000015258789,57.09999847412109,54.5,55.83000183105469,67435,
2026-06-11,55.61000061035156,56.75,54.5099983215332,56.75,12202,
2026-06-12,56.27000045776367,57.119998931884766,55.75,56.04999923706055,15309,
2026-06-15,56.66999816894531,57.0,56.06999969482422,57.0,6106,
2026-06-16,55.43999862670898,57.79999923706055,54.70000076293945,56.0,17356,
2026-06-17,55.63999938964844,57.400001525878906,55.5099983215332,55.52000045776367,25797,
2026-06-18,55.83000183105469,56.77999877929688,55.43999862670898,55.43999862670898,18536,
2026-06-19,55.54999923706055,55.9900016784668,54.70000076293945,55.810001373291016,8851,
2026-06-22,65.37999725341797,66.6500015258789,56.45000076293945,56.45000076293945,578754,
2026-06-23,71.33000183105469,72.44999694824219,65.0,67.69999694824219,1035561,
2026-06-24,65.9000015258789,72.69999694824219,65.0,72.25,217207,
2026-06-25,67.91999816894531,70.5,66.05999755859375,66.94999694824219,128149,
2026-06-29,64.33000183105469,67.91999816894531,62.9900016784668,67.91999816894531,74738,
2026-06-30,68.29000091552734,69.0,64.0,64.33000183105469,66066,
2026-07-01,66.38999938964844,71.98999786376953,65.4800033569336,69.80000305175781,139738,
2026-07-02,66.16000366210938,67.98999786376953,65.19999694824219,67.19999694824219,40440,
2026-07-03,73.44999694824219,74.9000015258789,66.52999877929688,67.4000015258789,554107,
2026-07-06,79.30000305175781,79.9000015258789,73.08000183105469,74.98999786376953,772572,
2026-07-07,75.0,81.80000305175781,73.98999786376953,79.30000305175781,273673,
2026-07-08,69.43000030517578,77.58999633789062,68.0,74.9000015258789,213026,
2026-07-09,73.01000213623047,73.83999633789062,69.9000015258789,69.9000015258789,114763,
2026-07-10,71.45999908447266,76.5,70.19999694824219,74.11000061035156,92030,
2026-07-13,73.94000244140625,74.80000305175781,69.69999694824219,70.5999984741211,59705,73.94000244140625
2026-07-14,71.58000183105469,74.30999755859375,71.0,74.30999755859375,52896,71.58000183105469
2026-07-15,71.41999816894531,73.98999786376953,71.0,72.6500015258789,61216,71.41999816894531
2026-07-16,71.95999908447266,73.98999786376953,71.2300033569336,71.93000030517578,72936,71.95999908447266
2026-07-17,70.55000305175781,74.69999694824219,69.20999908447266,73.45999908447266,96822,70.55000305175781
2026-07-20,70.19000244140625,72.0,69.1500015258789,70.44999694824219,57321,70.19000244140625
2026-07-21,73.8499984741211,75.5,69.30000305175781,70.0,198763,73.8499984741211
2026-07-22,75.37999725341797,77.0,73.0,77.0,205000,75.37999725341797
2026-07-23,77.38999938964844,78.9000015258789,75.01000213623047,76.4000015258789,116282,77.38999938964844
2026-07-24,73.97000122070312,77.19999694824219,73.5999984741211,75.9000015258789,62729,73.97000122070312
2026-07-27,73.87000274658203,75.9000015258789,73.11000061035156,75.9000015258789,49137,73.87000274658203
2026-07-28,74.37999725341797,74.88999938964844,72.75,74.23999786376953,21711,74.37999725341797
2026-07-29,72.33999633789062,76.5,72.0,74.3499984741211,56773,72.33999633789062
2026-07-30,72.33999633789062,74.5,71.91000366210938,72.33999633789062,57004,72.33999633789062
2026-07-31,70.62000274658203,73.04000091552734,70.11000061035156,72.3499984741211,32299,70.62000274658203
2026-08-03,74.43000030517578,74.94999694824219,70.9000015258789,70.9000015258789,54766,74.43000030517578
2026-08-04,73.33999633789062,82.0,71.3499984741211,75.0,575410,73.33999633789062
2026-08-05,74.16999816894531,79.0999984741211,70.0,73.69999694824219,469595,74.16999816894531
2026-08-06,75.3499984741211,77.88999938964844,74.5,77.0,190108,75.3499984741211
2026-08-07,74.06999969482422,76.18000030517578,73.1500015258789,75.7300033569336,49490,74.06999969482422
2026-08-10,74.55000305175781,75.48999786376953,72.80000305175781,74.43000030517578,52401,74.55000305175781
2026-08-11,73.27999877929688,76.0,72.01000213623047,75.08000183105469,105820,73.27999877929688
2026-08-12,72.13999938964844,74.05000305175781,71.1500015258789,73.73999786376953,101699,72.13999938964844
2026-08-13,72.25,73.5,72.0999984741211,72.66000366210938,27190,72.25
2026-08-14,73.72000122070312,75.0,71.69000244140625,72.77999877929688,36121,73.72000122070312
