Date,Adj Close,Close,High,Low,Open,Volume
2026-07-21,609.75,609.75,624.9500122070312,598.2000122070312,613.2999877929688,84848648
2026-07-22,584.7000122070312,584.7000122070312,609.0,583.0,609.0,15289956
2026-07-23,598.7999877929688,598.7999877929688,599.7000122070312,575.75,581.25,7570401
2026-07-24,587.2999877929688,587.2999877929688,589.4000244140625,572.0,577.4000244140625,6738164
2026-07-27,583.2000122070312,583.2000122070312,594.3499755859375,581.0,590.0,4053030
2026-07-28,575.75,575.75,586.2999877929688,574.2999877929688,584.0,2288775
2026-07-29,576.0499877929688,576.0499877929688,579.5,573.2000122070312,578.0,2872496
2026-07-30,570.2000122070312,570.2000122070312,579.9000244140625,565.0499877929688,576.0499877929688,3789220
2026-07-31,589.1500244140625,589.1500244140625,591.75,571.7999877929688,573.0,5832289
2026-08-03,588.0499877929688,588.0499877929688,592.9000244140625,583.2000122070312,591.0,2624696
2026-08-04,569.7000122070312,569.7000122070312,588.0,568.75,585.0,4878368
2026-08-05,573.9500122070312,573.9500122070312,575.25,571.0999755859375,574.0,1788607
2026-08-06,568.9500122070312,568.9500122070312,577.9500122070312,565.5,576.0,2441610
2026-08-07,571.75,571.75,572.9000244140625,565.5499877929688,569.0,1904705
2026-08-10,570.6500244140625,570.6500244140625,573.2000122070312,567.0999755859375,571.75,1873654
2026-08-11,568.4500122070312,568.4500122070312,571.9000244140625,567.0999755859375,570.25,1254557
2026-08-12,568.7999877929688,568.7999877929688,570.9000244140625,563.0999755859375,570.0,1734065
2026-08-13,563.5,563.5,570.0,562.5,568.7999877929688,1066349
2026-08-14,559.0999755859375,559.0999755859375,563.5,555.5,563.0,1641085
