Date,Adj Close,Close,High,Low,Open,Volume
2026-07-21,99.75,99.75,105.0,99.75,105.0,657839
2026-07-23,90.04000091552734,90.04000091552734,90.04000091552734,90.04000091552734,90.04000091552734,37455
2026-07-24,85.54000091552734,85.54000091552734,85.54000091552734,85.54000091552734,85.54000091552734,48238
2026-07-27,81.2699966430664,81.2699966430664,81.2699966430664,81.2699966430664,81.2699966430664,49122
2026-07-28,77.20999908447266,77.20999908447266,77.20999908447266,77.20999908447266,77.20999908447266,40620
2026-07-29,73.3499984741211,73.3499984741211,73.3499984741211,73.3499984741211,73.3499984741211,84594
2026-07-30,69.69000244140625,69.69000244140625,72.5,69.69000244140625,69.69000244140625,637522
2026-07-31,73.1500015258789,73.1500015258789,73.16999816894531,66.20999908447266,66.20999908447266,883062
2026-08-03,71.68000030517578,71.68000030517578,74.5,69.5,71.30000305175781,456767
2026-08-04,68.04000091552734,68.04000091552734,71.13999938964844,67.66999816894531,70.44000244140625,540802
2026-08-05,67.81999969482422,67.81999969482422,70.30000305175781,67.3499984741211,67.3499984741211,451097
2026-08-06,66.25,66.25,68.8499984741211,66.0,67.8499984741211,283168
2026-08-07,63.27000045776367,63.27000045776367,66.0,63.02000045776367,65.30000305175781,320989
2026-08-10,63.7400016784668,63.7400016784668,66.87999725341797,63.0099983215332,63.0099983215332,265756
2026-08-11,62.27000045776367,62.27000045776367,64.0,62.04999923706055,63.7400016784668,221443
2026-08-12,61.619998931884766,61.619998931884766,63.0,60.79999923706055,62.29999923706055,202684
2026-08-13,60.279998779296875,60.279998779296875,62.4900016784668,60.0,61.619998931884766,239862
2026-08-14,58.599998474121094,58.599998474121094,61.9900016784668,58.4900016784668,60.0,300193
