Date,Close,High,Low,Open,Volume,Adj Close
2022-04-11,131.25,131.25,125.0,125.0,3043170,
2022-04-12,137.8000030517578,137.8000030517578,137.8000030517578,137.8000030517578,10595,
2022-04-13,144.64999389648438,144.64999389648438,144.64999389648438,144.64999389648438,11223,
2022-04-18,151.85000610351562,151.85000610351562,151.85000610351562,151.85000610351562,38925,
2022-04-19,159.39999389648438,159.39999389648438,159.39999389648438,159.39999389648438,17060,
2022-04-20,167.35000610351562,167.35000610351562,161.5,166.0,148163,
2022-04-21,175.6999969482422,175.6999969482422,174.8000030517578,175.6999969482422,45288,
2022-04-22,184.4499969482422,184.4499969482422,184.4499969482422,184.4499969482422,10275,
2022-04-25,193.6499938964844,193.6499938964844,193.6499938964844,193.6499938964844,11660,
2022-04-26,203.3000030517578,203.3000030517578,203.3000030517578,203.3000030517578,6751,
2022-04-27,223.6000061035156,223.6000061035156,223.6000061035156,223.6000061035156,5656,
2022-04-28,245.9499969482422,245.9499969482422,230.0,245.9499969482422,775206,
2022-04-29,270.5,270.5,245.9499969482422,270.5,275639,
2022-05-02,284.0,284.0,284.0,284.0,12408,
2022-05-04,269.79998779296875,298.20001220703125,269.79998779296875,298.20001220703125,868764,
2022-05-05,266.1000061035156,283.25,256.3500061035156,256.3500061035156,1692937,
2022-05-06,253.25,260.79998779296875,252.8000030517578,257.1000061035156,240119,
2022-05-09,240.6000061035156,247.8000030517578,240.6000061035156,241.5500030517578,733192,
2022-05-10,228.6000061035156,238.3999938964844,228.6000061035156,234.0,76248,
2022-05-11,217.1999969482422,232.3000030517578,217.1999969482422,220.0,345673,
2022-05-12,206.3500061035156,206.3500061035156,206.3500061035156,206.3500061035156,47386,
2022-05-13,207.3500061035156,216.6499938964844,196.0500030517578,197.0,978707,
2022-05-16,199.5,217.6999969482422,198.0,206.25,312555,
2022-05-17,209.4499969482422,209.4499969482422,189.5500030517578,199.9499969482422,281705,
2022-05-18,211.3000030517578,219.8999938964844,209.0,217.8000030517578,352110,
2022-05-19,200.75,208.4499969482422,200.75,201.0,247351,
2022-05-20,193.1999969482422,207.1000061035156,190.75,205.0500030517578,259968,
2022-05-23,183.8999938964844,191.4499969482422,183.5500030517578,191.0,465500,
2022-05-24,193.0500030517578,193.0500030517578,175.0,185.8999938964844,305846,
2022-05-25,188.6499938964844,202.6999969482422,184.5500030517578,199.8000030517578,360747,
2022-05-26,192.3500061035156,194.25,179.25,193.6499938964844,234173,
2022-05-27,197.6499938964844,200.8999938964844,186.9499969482422,195.0,177280,
2022-05-30,207.5,207.5,201.8500061035156,201.8500061035156,144725,
